address,categories,city,latitude,longitude,name,postalCode,province
208 McGuinness Blvd,Fast Food Restaurant,Brooklyn,40.729763,-73.950623,KFC,11222,NY
30 Wheeler Ave,Fast Food Restaurants,Pleasantville,41.134601,-73.792256,Pony Express To Go,10570,NY
4010 82nd St,Fried Chicken Joint and Fast Food Restaurant Elmhurst,Elmhurst,40.747262,-73.884064,Popeyes,11373,NY
6250 Central Ave,Fast Food Restaurant,Capitol Heights,38.887058,-76.899635,Taco Bell,20743,MD
8475 Cordon Way,Fast Food Restaurant,Nottingham,39.377515,-76.458366,Taco Bell,21236,MD
798 N Main Street,Fast Food,Marion,36.839552,-81.507778,Taco Bell,24354,VA
7791 Sudley Rd,Fast Food Restaurant,Manassas,38.788199,-77.513481,Taco Bell,20109,VA
11 Mall Walk,Fast Food,Yonkers,40.928279,-73.856806,Mrs. Fields,10704,NY
324 Elmira Rd,Fast Food Restaurants,Ithaca,42.426062,-76.512148,Moe's Southwest Grill,14850,NY
1213 Erie Blvd W,Fast Food Restaurants,Rome,43.225649,-75.487435,Subway,13440,NY
8421 5th Ave,Fast Food Restaurants,Brooklyn,40.622718,-74.025413,Subway,11209,NY
6165 Strickland Ave,Fast Food,Brooklyn,40.612944,-73.912249,Subway,11234,NY
4280 Katonah Ave,Fast Food,Bronx,40.897993,-73.86726,Subway,10470,NY
1066 Madison Ave,Fast Food Restaurants,Albany,42.665166,-73.79057,Subway,12208,NY
12765 Broadway St,Fast Food Restaurants,Alden,42.894841,-78.511352,Subway,14004,NY
3927 Victory Blvd,Fast Food Restaurants,Portsmouth,36.80945,-76.358526,Bojangles' Famous Chicken 'n Biscuits,23701,VA
12441 Warwick Blvd,Fast Food Restaurant,Newport News,37.071603,-76.493955,Bojangles' Famous Chicken 'n Biscuits,23606,VA
9380 Baltimore National Pike,Fast Food Restaurant,Ellicott City,39.277705,-76.834387,Boston Market,21042,MD
1350 W Patrick St,Fast Food Restaurant,Frederick,39.418888,-77.45781,Boston Market,21703,MD
3633 Broadway,Fast Food Restaurants,New York,40.829441,-73.948612,Crown Fried Chicken,10031,NY
2610 N Franklin Street,Fast Food,Christiansburg,37.167113,-80.423093,Panera Bread,24073,VA
2375 Merrick Road,Fast Food,Bellmore,40.661712,-73.537962,Panera Bread,11710,NY
93 Church Ave,Fast Food Restaurants,Brooklyn,40.642662,-73.979786,Subway,11218,NY
1092 Flatbush Ave,Fast Food,Brooklyn,40.643839,-73.957869,Subway,11226,NY
1503 Sheepshead Bay Rd,Fast Food Restaurants,Brooklyn,40.587419,-73.954224,Subway,11235,NY
2505 Southern Blvd,Fast Food,Bronx,40.856544,-73.880765,McDonald's,10458,NY
2505 Southern Blvd,Fast Food Restaurant,Bronx,40.856544,-73.880765,McDonald's,10458,NY
